orchestrator,todo,in_progress,blocked,review,total_open,oldest_open_iso,oldest_open_age_days,count_date
pi,97,1,0,0,98,2026-03-25T11:01:38.008Z,158.01,2026-08-30
laurent,6,0,0,0,6,2026-03-25T11:01:49.409Z,158.01,2026-08-30
phi,7,0,0,1,8,2026-03-25T19:44:27.201Z,157.64,2026-08-30
tau,3,0,1,0,4,2026-03-28T09:26:04.804Z,155.07,2026-08-30
sigma,2483,0,2,0,2485,2026-03-30T13:23:12.477Z,152.91,2026-08-30
omega,533,0,0,0,533,2026-04-04T11:31:10.195Z,147.98,2026-08-30
sigma-devproof-walk,6,6,0,0,12,2026-08-15T12:25:36.032Z,14.95,2026-08-30
sigma-devproof-cap,350,350,350,350,1400,2026-08-15T12:25:45.447Z,14.95,2026-08-30
sigma-devproof-horizon,20,0,0,0,20,2026-08-15T12:29:00.454Z,14.94,2026-08-30
sigma-devproof-allmatch,2100,0,0,0,2100,2026-08-15T12:30:02.512Z,14.94,2026-08-30
orch-b,1,0,0,0,1,2026-08-21T18:16:01.241Z,8.70,2026-08-30
c,1,0,0,0,1,2026-08-23T23:44:21.509Z,6.48,2026-08-30
b,1,0,1,0,2,2026-08-23T23:58:09.570Z,6.47,2026-08-30
zeta,0,0,0,0,0,,,2026-08-30
eta,0,0,0,0,0,,,2026-08-30
